Sample,pH,C,N,Glomalin
AS1,6.82,0.98,0.12,15.24
AS2,6.62,1.16,0.13,20.78
AS3,6.42,0.89,0.11,20.16
GR1,6.53,1.55,0.16,21.39
GR2,7.15,1.07,0.12,14.01
GR3,6.58,1.13,0.14,17.08
NK3,6.83,1.14,0.12,14.62
NK4,6.76,1.35,0.14,20.78
NK5,6.79,1.08,0.12,14.01
RE1,7.2,1.2,0.14,22.01
RE2,7.18,1.14,0.13,20.16
RE3,7.25,1.16,0.14,20.78
TO1,7.04,0.67,0.08,9.08
TO2,7.37,0.61,0.08,12.78
TO3,7.81,0.61,0.08,10.31
WB1,6.64,0.73,0.11,14.01
WB2,6.99,0.53,0.08,10.93
WB3,7.28,1.07,0.12,18.31
Asa,7.08,1.21,0.15,18.31
Asb,6.58,1.44,0.16,19.54
Asc,6.36,1.43,0.15,18.31
Gra,6.38,0.59,0.08,18.31
GRb,6.56,0.69,0.09,16.47
GRc,6.14,1.11,0.13,18.31
NKc,6.84,1.04,0.12,15.24
NKd,6.86,1.25,0.14,9.7
NKe,6.82,1.12,0.13,15.24
REa,6.85,0.94,0.12,15.24
REb,6.88,1.01,0.12,15.85
REc,6.86,0.92,0.12,15.24
TOa,6.84,0.74,0.1,3.54
TOb,7.01,0.59,0.08,18.31
TOc,7.46,0.66,0.09,9.7
WBa,6.45,0.6,0.11,14.01
WBb,6.49,0.79,0.11,21.39
WBc,6.65,0.95,0.12,17.7
