Sample,Measure,Value,X.Name,soil_type,Year,farm,replication,tillage,cover_crop,Crop_rotation,Season
AS1,Observed,2632,AS1,Bulk,2020,SCH,1,Min Till,CC-mix,Cotton-Soybean,Fall
AS2,Observed,2785,AS2,Bulk,2020,SCH,2,Min Till,CC-mix,Cotton-Soybean,Fall
AS3,Observed,2695,AS3,Bulk,2020,SCH,3,Min Till,CC-mix,Cotton-Soybean,Fall
ASa,Observed,162,ASa,Bulk,2021,SCH,1,Min Till,CC-mix,Cotton-Soybean,Spring
ASb,Observed,169,ASb,Bulk,2021,SCH,2,Min Till,CC-mix,Cotton-Soybean,Spring
ASc,Observed,121,ASc,Bulk,2021,SCH,3,Min Till,CC-mix,Cotton-Soybean,Spring
GR1,Observed,2490,GR1,Bulk,2020,ROB,1,Min Till,CC-mix,Corn-Soybean,Fall
GR2,Observed,2608,GR2,Bulk,2020,ROB,2,Min Till,CC-mix,Corn-Soybean,Fall
GR3,Observed,1433,GR3,Bulk,2020,ROB,3,Min Till,CC-mix,Corn-Soybean,Fall
GRa,Observed,168,GRa,Bulk,2021,ROB,1,Min Till,CC-mix,Corn-Soybean,Spring
GRb,Observed,212,GRb,Bulk,2021,ROB,2,Min Till,CC-mix,Corn-Soybean,Spring
GRc,Observed,425,GRc,Bulk,2021,ROB,3,Min Till,CC-mix,Corn-Soybean,Spring
NK3,Observed,2821,NK3,Bulk,2020,KIN,3,Conv Till,no CC,Soybean-Corn,Fall
NK4,Observed,3300,NK4,Bulk,2020,KIN,4,Conv Till,no CC,Soybean-Corn,Fall
NK5,Observed,3247,NK5,Bulk,2020,KIN,5,Conv Till,no CC,Soybean-Corn,Fall
NKc,Observed,208,NKc,Bulk,2021,KIN,3,Conv Till,no CC,Soybean-Corn,Spring
NKd,Observed,127,NKd,Bulk,2021,KIN,4,Conv Till,no CC,Soybean-Corn,Spring
NKe,Observed,97,NKe,Bulk,2021,KIN,5,Conv Till,no CC,Soybean-Corn,Spring
RE1,Observed,3183,RE1,Bulk,2020,EVA,1,Min Till,CC-mix,Soybean-Soybean,Fall
RE2,Observed,3055,RE2,Bulk,2020,EVA,2,Min Till,CC-mix,Soybean-Soybean,Fall
RE3,Observed,3054,RE3,Bulk,2020,EVA,3,Min Till,CC-mix,Soybean-Soybean,Fall
REa,Observed,252,REa,Bulk,2021,EVA,1,Min Till,CC-mix,Soybean-Soybean,Spring
REb,Observed,168,REb,Bulk,2021,EVA,2,Min Till,CC-mix,Soybean-Soybean,Spring
REc,Observed,245,REc,Bulk,2021,EVA,3,Min Till,CC-mix,Soybean-Soybean,Spring
TO1,Observed,3119,TO1,Bulk,2020,OGL,1,Conv Till,no CC,Corn-Soybean,Fall
TO2,Observed,3151,TO2,Bulk,2020,OGL,2,Conv Till,no CC,Corn-Soybean,Fall
TO3,Observed,2841,TO3,Bulk,2020,OGL,3,Conv Till,no CC,Corn-Soybean,Fall
TOa,Observed,136,TOa,Bulk,2021,OGL,1,Conv Till,no CC,Corn-Soybean,Spring
TOb,Observed,281,TOb,Bulk,2021,OGL,2,Conv Till,no CC,Corn-Soybean,Spring
TOc,Observed,142,TOc,Bulk,2021,OGL,3,Conv Till,no CC,Corn-Soybean,Spring
WB1,Observed,2962,WB1,Bulk,2020,BRE,1,Conv Till,no CC,Soybean-Soybean,Fall
WB2,Observed,3000,WB2,Bulk,2020,BRE,2,Conv Till,no CC,Soybean-Soybean,Fall
WB3,Observed,2957,WB3,Bulk,2020,BRE,3,Conv Till,no CC,Soybean-Soybean,Fall
WBa,Observed,145,WBa,Bulk,2021,BRE,1,Conv Till,no CC,Soybean-Soybean,Spring
WBb,Observed,113,WBb,Bulk,2021,BRE,2,Conv Till,no CC,Soybean-Soybean,Spring
WBc,Observed,167,WBc,Bulk,2021,BRE,3,Conv Till,no CC,Soybean-Soybean,Spring
AS1,Chao1,2635.028846153846,AS1,Bulk,2020,SCH,1,Min Till,CC-mix,Cotton-Soybean,Fall
AS2,Chao1,2788.0550458715597,AS2,Bulk,2020,SCH,2,Min Till,CC-mix,Cotton-Soybean,Fall
AS3,Chao1,2698.31914893617,AS3,Bulk,2020,SCH,3,Min Till,CC-mix,Cotton-Soybean,Fall
ASa,Chao1,162,ASa,Bulk,2021,SCH,1,Min Till,CC-mix,Cotton-Soybean,Spring
