Sample,PCoA1,PCoA2,X.Name,soil_type,Year,farm,replication,tillage,cover_crop,Crop_rotation,Season
AS1,-0.2781228626715656,0.22753466144762696,AS1,Bulk,2020,SCH,1,Min Till,CC-mix,Cotton-Soybean,Fall
AS2,-0.26211264968381526,0.15020690871140677,AS2,Bulk,2020,SCH,2,Min Till,CC-mix,Cotton-Soybean,Fall
AS3,-0.23006848808351046,0.07229091042112148,AS3,Bulk,2020,SCH,3,Min Till,CC-mix,Cotton-Soybean,Fall
ASa,0.2978526781755246,0.06842108063897435,ASa,Bulk,2021,SCH,1,Min Till,CC-mix,Cotton-Soybean,Spring
ASb,0.26698375731264445,0.07362384044045536,ASb,Bulk,2021,SCH,2,Min Till,CC-mix,Cotton-Soybean,Spring
ASc,0.28371389459456176,0.02410912843437566,ASc,Bulk,2021,SCH,3,Min Till,CC-mix,Cotton-Soybean,Spring
GR1,-0.2680856263620634,-0.010548038146447593,GR1,Bulk,2020,ROB,1,Min Till,CC-mix,Corn-Soybean,Fall
GR2,-0.31614767855175807,0.027373869168234945,GR2,Bulk,2020,ROB,2,Min Till,CC-mix,Corn-Soybean,Fall
GR3,-0.2616541346970541,0.08723605607687882,GR3,Bulk,2020,ROB,3,Min Till,CC-mix,Corn-Soybean,Fall
GRa,0.3175509086059637,0.02218613554020003,GRa,Bulk,2021,ROB,1,Min Till,CC-mix,Corn-Soybean,Spring
GRb,0.23263619741531508,-0.10919962096364275,GRb,Bulk,2021,ROB,2,Min Till,CC-mix,Corn-Soybean,Spring
GRc,0.14292609908765577,0.03264715382184129,GRc,Bulk,2021,ROB,3,Min Till,CC-mix,Corn-Soybean,Spring
NK3,-0.3013398078090821,0.20600464526578166,NK3,Bulk,2020,KIN,3,Conv Till,no CC,Soybean-Corn,Fall
NK4,-0.279286840559264,0.22745342021034654,NK4,Bulk,2020,KIN,4,Conv Till,no CC,Soybean-Corn,Fall
NK5,-0.3137676437731472,0.2482773550797838,NK5,Bulk,2020,KIN,5,Conv Till,no CC,Soybean-Corn,Fall
NKc,0.2904472674829485,0.04742973362317776,NKc,Bulk,2021,KIN,3,Conv Till,no CC,Soybean-Corn,Spring
NKd,0.3320611741826021,0.08160486066910261,NKd,Bulk,2021,KIN,4,Conv Till,no CC,Soybean-Corn,Spring
NKe,0.3333859955862812,0.10010128411545643,NKe,Bulk,2021,KIN,5,Conv Till,no CC,Soybean-Corn,Spring
RE1,-0.2797793652060371,-0.23200027944323776,RE1,Bulk,2020,EVA,1,Min Till,CC-mix,Soybean-Soybean,Fall
RE2,-0.31694035937687437,-0.10575415989791417,RE2,Bulk,2020,EVA,2,Min Till,CC-mix,Soybean-Soybean,Fall
RE3,-0.312533531051157,-0.11652530006587535,RE3,Bulk,2020,EVA,3,Min Till,CC-mix,Soybean-Soybean,Fall
REa,0.26790202782294514,0.020715421684274146,REa,Bulk,2021,EVA,1,Min Till,CC-mix,Soybean-Soybean,Spring
REb,0.303180145881674,-0.008387300007190616,REb,Bulk,2021,EVA,2,Min Till,CC-mix,Soybean-Soybean,Spring
REc,0.2869585661025188,-0.0025245824041844746,REc,Bulk,2021,EVA,3,Min Till,CC-mix,Soybean-Soybean,Spring
TO1,-0.2289824058514602,-0.3100731369779393,TO1,Bulk,2020,OGL,1,Conv Till,no CC,Corn-Soybean,Fall
TO2,-0.2676230843387698,-0.2220018006971987,TO2,Bulk,2020,OGL,2,Conv Till,no CC,Corn-Soybean,Fall
TO3,-0.13531491986695882,-0.32214681165714204,TO3,Bulk,2020,OGL,3,Conv Till,no CC,Corn-Soybean,Fall
TOa,0.2809480883821419,-0.11145503320056693,TOa,Bulk,2021,OGL,1,Conv Till,no CC,Corn-Soybean,Spring
TOb,0.23029409771890072,-0.15738649557583645,TOb,Bulk,2021,OGL,2,Conv Till,no CC,Corn-Soybean,Spring
TOc,0.19362335946024956,-0.17392897309997365,TOc,Bulk,2021,OGL,3,Conv Till,no CC,Corn-Soybean,Spring
WB1,-0.24043331276339058,0.1657979087900264,WB1,Bulk,2020,BRE,1,Conv Till,no CC,Soybean-Soybean,Fall
WB2,-0.29758244106957443,0.06371483390143005,WB2,Bulk,2020,BRE,2,Conv Till,no CC,Soybean-Soybean,Fall
WB3,-0.2993049605927444,-0.1949891539601486,WB3,Bulk,2020,BRE,3,Conv Till,no CC,Soybean-Soybean,Fall
WBa,0.2389157575122152,0.0929997565949756,WBa,Bulk,2021,BRE,1,Conv Till,no CC,Soybean-Soybean,Spring
WBb,0.31429651419422355,0.05437892230862721,WBb,Bulk,2021,BRE,2,Conv Till,no CC,Soybean-Soybean,Spring
WBc,0.27540358278985966,-0.01718720084680013,WBc,Bulk,2021,BRE,3,Conv Till,no CC,Soybean-Soybean,Spring
