Genus,prevalence_Fall,prevalence_Spring,mean_RA_Fall,mean_RA_Spring,Core_status
d__Bacteria|p__Acidobacteria|c__Acidobacteria-6|o__iii1-15|f__|g__,0.8888888888888888,0,2.0773609218762538e-4,0,Fall core only
d__Bacteria|p__Acidobacteria|c__Acidobacteria-6|o__|f__|g__,1,1,0.03328928080038464,0.044846136933257015,Shared core
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__,0.8888888888888888,0.5,0.0022511607958188716,0.002280033194314772,Fall core only
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Telmatobacter,0.8333333333333334,0.05555555555555555,5.601636232927349e-4,4.689311779551189e-4,Fall core only
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Koribacteraceae|g__Candidatus Koribacter,0.9444444444444444,0.2777777777777778,0.0036091890302513345,0.0029427048480897226,Fall core only
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__|g__,0.8888888888888888,0.2222222222222222,0.0034657426074799717,0.00158905385157281,Fall core only
d__Bacteria|p__Acidobacteria|c__Solibacteres|o__Solibacterales|f__MVS-65|g__,1,0.5555555555555556,0.0073669113188246085,0.005953608880857594,Fall core only
d__Bacteria|p__Acidobacteria|c__Solibacteres|o__Solibacterales|f__OPB3|g__,1,0.16666666666666666,0.00388744444992667,9.74704193160874e-4,Fall core only
d__Bacteria|p__Acidobacteria|c__Solibacteres|o__Solibacterales|f__PK34|g__,1,0.1111111111111111,0.0013050300381623713,0.001499975523893221,Fall core only
d__Bacteria|p__Acidobacteria|c__Solibacteres|o__Solibacterales|f__|g__,1,0.4444444444444444,0.004781970415450532,0.004615407547426481,Fall core only
d__Bacteria|p__Acidobacteria|c__[Chloracidobacteria]|o__DS-100|f__|g__,0.9444444444444444,0.3888888888888889,8.16319673789714e-4,0.0011730719574955144,Fall core only
d__Bacteria|p__Acidobacteria|c__[Chloracidobacteria]|o__RB41|f__Ellin6075|g__,0.8888888888888888,0.5,0.0015881377593654795,0.0033058547444757653,Fall core only
d__Bacteria|p__Acidobacteria|c__[Chloracidobacteria]|o__RB41|f__|g__,1,0.1111111111111111,0.005136383240104795,6.511955715067097e-4,Fall core only
d__Bacteria|p__Acidobacteria|c__[Chloracidobacteria]|o__|f__|g__,1,0.16666666666666666,5.502691049926627e-4,0.0013111626380388046,Fall core only
d__Bacteria|p__Acidobacteria|c__|o__|f__|g__,1,0.05555555555555555,9.388087573145615e-4,8.729425165018813e-4,Fall core only
d__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__C111|g__Ilumatobacter,1,0.2222222222222222,0.0038057207045414463,9.83438128272817e-4,Fall core only
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinosynnemataceae|g__,1,0,0.008441546854036848,0,Fall core only
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Geodermatophilaceae|g__,1,0,8.738200162916841e-4,0,Fall core only
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Geodermatophilaceae|g__Blastococcus,1,0.2777777777777778,0.005799860941689713,0.0015989394312625512,Fall core only
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Intrasporangiaceae|g__,1,0.16666666666666666,0.0076707337103200275,0.002074096651863934,Fall core only
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Intrasporangiaceae|g__Tetrasphaera,0.8333333333333334,0.05555555555555555,0.0019467698529363495,3.5207621414517967e-4,Fall core only
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Kineosporiaceae|g__Kineosporia,1,0.05555555555555555,0.002870799662099551,8.611281631539456e-4,Fall core only
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__,1,0.05555555555555555,0.0034082601540600544,5.432212380331557e-4,Fall core only
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Arthrobacter,1,1,0.0130392484823075,0.011004353436092344,Shared core
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micromonosporaceae|g__,1,0.16666666666666666,0.03627742761547705,4.081009916334317e-4,Fall core only
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micromonosporaceae|g__Actinoplanes,0.8333333333333334,0,0.0022577804520649693,0,Fall core only
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micromonosporaceae|g__Micromonospora,1,0.05555555555555555,0.004277931892710318,4.66531180899063e-4,Fall core only
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Mycobacteriaceae|g__Mycobacterium,1,0.16666666666666666,0.009538940344630683,6.823704548003118e-4,Fall core only
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae|g__,1,0.2777777777777778,0.005650241677138908,0.003188135720993618,Fall core only
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae|g__Marmoricola,1,0.05555555555555555,0.0016823274648547796,1.7904644976468186e-4,Fall core only
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae|g__Nocardioides,1,0.4444444444444444,0.01171425902605355,0.005290278681211253,Fall core only
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Streptomycetaceae|g__,1,0.05555555555555555,0.00493051539470687,4.067421580111936e-4,Fall core only
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Streptomycetaceae|g__Streptomyces,1,0.4444444444444444,0.012296581126121512,0.005720822300023867,Fall core only
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Streptosporangiaceae|g__,1,0,0.0016773971492620322,0,Fall core only
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Thermomonosporaceae|g__,0.8888888888888888,0,9.785682431270302e-4,0,Fall core only
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Thermomonosporaceae|g__Actinomadura,0.8888888888888888,0.16666666666666666,0.004344313998356406,0.0014338943241133171,Fall core only
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__|g__,1,0.2777777777777778,0.04001441004326743,9.977602672287225e-4,Fall core only
d__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__Gaiella,1,0.8333333333333334,0.029575377934267812,0.010196017217252749,Shared core
d__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Solirubrobacter,1,0,0.004917612134877837,0,Fall core only
d__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__|g__,0.8333333333333334,0.05555555555555555,0.00132607309198442,1.9794785023211412e-4,Fall core only
d__Bacteria|p__Actinobacteria|c__|o__|f__|g__,1,0.7222222222222222,0.02696282033409618,0.005758660821583886,Fall core only
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__|g__,1,0.3888888888888889,5.830783810690381e-4,4.848451425704593e-4,Fall core only
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae|g__,1,0.8333333333333334,0.0025657723008255277,0.017035265939486722,Shared core
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Flammeovirgaceae|g__Marinoscillum,0.9444444444444444,0.2777777777777778,4.409625388987931e-4,0.001539706494713497,Fall core only
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__|g__,0.9444444444444444,0.3333333333333333,0.00124092456920401,0.0012429530071286102,Fall core only
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium,0.8333333333333334,0.7777777777777778,0.0014887678552518698,0.007479137087002519,Fall core only
d__Bacteria|p__Bacteroidetes|c__[Saprospirae]|o__[Saprospirales]|f__Chitinophagaceae|g__,1,1,0.007624251866857438,0.03259379895982665,Shared core
d__Bacteria|p__Bacteroidetes|c__[Saprospirae]|o__[Saprospirales]|f__Chitinophagaceae|g__Ferruginibacter,1,0.7777777777777778,5.558563695246115e-4,0.005051583924678822,Fall core only
d__Bacteria|p__Bacteroidetes|c__[Saprospirae]|o__[Saprospirales]|f__Chitinophagaceae|g__Parasegitibacter,1,0.6666666666666666,8.833283030384769e-4,0.003335162709538678,Fall core only
d__Bacteria|p__Bacteroidetes|c__[Saprospirae]|o__[Saprospirales]|f__Chitinophagaceae|g__Terrimonas,0.8333333333333334,0.16666666666666666,6.824020080980136e-4,8.291864334072499e-4,Fall core only
d__Bacteria|p__Bacteroidetes|c__[Saprospirae]|o__[Saprospirales]|f__Chitinophagaceae|g__Trachelomonas,1,1,0.0020792647081646575,0.016553559103567473,Shared core
d__Bacteria|p__Bacteroidetes|c__|o__|f__|g__,1,0.8888888888888888,0.0015803424895389068,0.005242808753045036,Shared core
d__Bacteria|p__Chloroflexi|c__Anaerolineae|o__A31|f__S47|g__,1,0,0.0012600236149235343,0,Fall core only
d__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Caldilineales|f__Caldilineaceae|g__Litorilinea,1,0.2777777777777778,0.0021712416597084337,7.056997802160867e-4,Fall core only
d__Bacteria|p__Chloroflexi|c__Anaerolineae|o__H39|f__|g__,0.8888888888888888,0,4.596812138374418e-4,0,Fall core only
d__Bacteria|p__Chloroflexi|c__Anaerolineae|o__SBR1031|f__A4b|g__,1,0.1111111111111111,0.0018050683968106993,1.787081286695439e-4,Fall core only
d__Bacteria|p__Chloroflexi|c__Anaerolineae|o__SBR1031|f__oc28|g__,0.9444444444444444,0,4.705968410483205e-4,0,Fall core only
d__Bacteria|p__Chloroflexi|c__Anaerolineae|o__envOPS12|f__|g__,0.9444444444444444,0.2777777777777778,9.908900648886811e-4,0.0016733448683904403,Fall core only
d__Bacteria|p__Chloroflexi|c__Anaerolineae|o__|f__|g__,0.8888888888888888,0,4.704082660334808e-4,0,Fall core only
d__Bacteria|p__Chloroflexi|c__C0119|o__|f__|g__,1,0.2222222222222222,0.0021688495752390114,3.995268442778411e-4,Fall core only
d__Bacteria|p__Chloroflexi|c__Chloroflexi|o__AKIW781|f__|g__,0.9444444444444444,0.05555555555555555,0.0020465466711152586,4.142073107590348e-5,Fall core only
d__Bacteria|p__Chloroflexi|c__Chloroflexi|o__Chloroflexales|f__FFCH7168|g__,0.8888888888888888,0.05555555555555555,3.077618398319599e-4,5.9046691171043525e-5,Fall core only
d__Bacteria|p__Chloroflexi|c__Chloroflexi|o__[Roseiflexales]|f__[Kouleothrixaceae]|g__,1,0,0.005674186250262799,0,Fall core only
d__Bacteria|p__Chloroflexi|c__Chloroflexi|o__[Roseiflexales]|f__[Roseiflexaceae]|g__,1,0.1111111111111111,0.002888691042489793,1.1114573122323011e-4,Fall core only
d__Bacteria|p__Chloroflexi|c__Chloroflexi|o__[Roseiflexales]|f__|g__,1,0.1111111111111111,0.006418740844945546,9.458260482743652e-5,Fall core only
d__Bacteria|p__Chloroflexi|c__Chloroflexi|o__|f__|g__,0.8333333333333334,0,8.045965365530092e-4,0,Fall core only
d__Bacteria|p__Chloroflexi|c__Ellin6529|o__|f__|g__,1,0.3333333333333333,0.008242047912423878,0.002719640200609526,Fall core only
d__Bacteria|p__Chloroflexi|c__Gitt-GS-136|o__|f__|g__,1,0.6666666666666666,0.0025982277472556036,0.005376231804831096,Fall core only
d__Bacteria|p__Chloroflexi|c__Ktedonobacteria|o__JG30-KF-AS9|f__|g__,0.8888888888888888,0,0.0027273804981201764,0,Fall core only
